time,text,udid
2026/01/11 17:10,时间：2026/01/11 17:10周日下午，休息日，城市：西安市，POI：高铁站、旅游景点、公园及休憩用地，前127分钟从安康市跨城市高速移动，Wifi未连接，应用记录：无,00009be2-c39b-87b9-e190-a8dd7fe48e98
2026/01/11 17:31,时间：2026/01/11 17:31周日下午，休息日，城市：西安市，POI：酒店旅馆、便利店、高铁站、旅游景点，Wifi未连接，应用记录：抖音共4秒，交互2次；通话应用(系统)共57秒，交互1次,00009be2-c39b-87b9-e190-a8dd7fe48e98
2026/01/11 18:03,时间：2026/01/11 18:03周日晚上，休息日，城市：西安市，前32分钟从西安市市内低速移动，Wifi未连接，应用记录：无,00009be2-c39b-87b9-e190-a8dd7fe48e98
2026/01/11 18:38,时间：2026/01/11 18:38周日晚上，休息日，城市：西安市，前34分钟从西安市市内低速移动，Wifi已连接，应用记录：抖音共10秒，交互2次；计算器(工具)共12秒，交互1次,00009be2-c39b-87b9-e190-a8dd7fe48e98
2026/01/11 19:02,时间：2026/01/11 19:02周日晚上，休息日，城市：西安市，前24分钟从西安市市内低速移动，Wifi已连接，应用记录：无,00009be2-c39b-87b9-e190-a8dd7fe48e98
2026/01/11 20:08,时间：2026/01/11 20:08周日晚上，休息日，城市：西安市，Wifi已连接，应用记录：无,00009be2-c39b-87b9-e190-a8dd7fe48e98
2026/01/11 20:51,时间：2026/01/11 20:51周日晚上，休息日，城市：西安市，Wifi已连接，应用记录：无,00009be2-c39b-87b9-e190-a8dd7fe48e98
2026/01/12 06:50,时间：2026/01/12 06:50周一上午，工作日，城市：西安市，Wifi已连接，应用记录：抖音共16秒，交互2次；优酷视频(视频)共8秒，交互1次；天气(工具)共14秒，交互1次,00009be2-c39b-87b9-e190-a8dd7fe48e98
2026/01/12 08:16,时间：2026/01/12 08:16周一上午，工作日，城市：西安市，前87分钟从西安市市内低速移动，Wifi未连接，应用记录：微信共3秒，交互4次；输入法(系统)共5秒，交互1次,00009be2-c39b-87b9-e190-a8dd7fe48e98
2026/01/12 09:25,时间：2026/01/12 09:25周一上午，工作日，城市：西安市，Wifi未连接，应用记录：日历共1秒，交互2次；QQ(聊天)共5秒，交互1次；微信共1秒，交互3次,00009be2-c39b-87b9-e190-a8dd7fe48e98
2026/01/12 10:06,时间：2026/01/12 10:06周一上午，工作日，城市：西安市，Wifi未连接，应用记录：无,00009be2-c39b-87b9-e190-a8dd7fe48e98
2026/01/23 09:53,时间：2026/01/23 09:53周五上午，工作日，城市：西安市，Wifi未连接，应用记录：微信共1秒，交互2次；抖音共7秒，交互1次,00009be2-c39b-87b9-e190-a8dd7fe48e98
2026/01/07 03:01,时间：2026/01/07 03:01周三凌晨，工作日，城市：北京市，Wifi未连接，应用记录：无,0000d06d-b99d-44c9-8efb-e13251fc177e
